state,n_test,n_peak,lr_rmse,lr_r2,rf_rmse,rf_r2,hyb_rmse_mean,hyb_rmse_std,hyb_r2_mean,hyb_peak_rmse,dm_mean_p,dm_n_sig
TN,1308,303,0.01075261345265682,0.9890880452685399,0.01873847651238953,0.9668607217239817,0.011019926390308334,0.0006065623165777429,0.9885109739872219,0.014923074332461933,0.2858920602191224,1
GJ,1308,365,0.00617488630313907,0.9972240996000667,0.013093120401105308,0.9875194917496303,0.0061625014549337625,3.4208119447812164e-05,0.997235155416681,0.007063418584638261,0.0009856612298730027,5
RJ,1308,333,0.0063253925457709085,0.9968057680846851,0.010062765228012216,0.9919160026863507,0.006335013442227548,7.878107093884206e-06,0.9967960399035085,0.007114625436180388,0.17732815745582312,1
KA,1308,356,0.009015717863568123,0.9937127033447003,0.016377863538171864,0.9792519243086685,0.009033063187152742,2.7351501801555674e-05,0.9936884415422261,0.01274729528762259,0.2955880691160755,2
MH,1308,352,0.006281940593826642,0.9971057310620699,0.014032014605085312,0.9855591987909789,0.006293675078333597,4.711319355705808e-06,0.9970949068382948,0.008038986780296856,0.06271269726263946,3
AP,1308,377,0.007138677847805423,0.9962581466483249,0.011647867726632075,0.9900380569231014,0.007151535738993053,2.317237393549292e-05,0.996244623624728,0.009186841091103879,0.23679909381106068,1
MP,1308,336,0.007368003377335267,0.9957733955150943,0.012164826592027885,0.9884786380081502,0.007372105165384263,1.6272835894050584e-05,0.9957686717868276,0.008502311205834402,0.12783601786666274,4
OR,1308,345,0.007079546888345425,0.9965340016115061,0.012456850328152032,0.9892691549412923,0.007284180866421927,0.0004685807137518131,0.9963185895319928,0.006784465587901678,0.23125704730451152,2
UP,1308,251,0.009995514333990178,0.9902617939406482,0.01542004372214423,0.976823925535629,0.009994825650383279,1.891196448207766e-05,0.9902631079159951,0.008370482460803765,0.4499290738689325,1
WB,1308,312,0.007732424994312053,0.9951451603149758,0.011191852846113641,0.9898293796325465,0.015610627995107883,0.010737175529989746,0.9727239832633587,0.0144461538714532,0.08060737674751231,2
